Hrenak, Samuel	G	6'2	176	L	SVK	
Karsay, Samuel	RW	NA	NA	?	SVK	
Virk, Savin	C	6'0	172	L	CAN	
Dingman, Sawyer	LW	NA	NA	?	CAN	
Mayes, Sawyer	C	6'4	200	R	CAN	
Burick, Sean	D	NA	NA	?	CAN	
Charvat, Sebastian	G	NA	NA	?	CZE	
Simonov, Semyon	RW	NA	NA	?	RUS	
Carrier, Shawn	C	5'10	181	R	CAN	
Katolicky, Simon	LW	6'4	187	L	CAN	
Cyr, Simon-Xavier	C	NA	NA	?	CAN	
Bowes, Spencer	C	NA	NA	?	CAN	
Kuryachenkov, Stepan	C	NA	NA	?	CAN	
Shurygin, Stepan	G	NA	NA	?	RUS	
Lam, Tanner	RW	5'10	157	L	CAN	
Lechner, Theodore	D	NA	NA	?	USA	
Bleyl, Thomas	D	NA	NA	?	CAN	
Vandenberg, Thomas	C	5'11	170	L	CAN	
Munger, Tim	LW	NA	NA	?	UNK	
Thomsson, Tim	D	NA	NA	?	UNK	
Tomik, Tobias	C	6'1	190	L	SVK	
Tvrznik, Tobias	G	NA	NA	?	CZE	
Cermak, Tomas	D	NA	NA	?	CZE	
Chrenko, Tomas	C	5'10	170	R	SVK	
Malinek, Tomas	D	6'1	176	R	CZE	
Pobezal, Tomas	C	5'10	179	R	SVK	
Rousseau, Tomas	RW	5'10	165	R	CAN	
Bleyl, Tommy	D	6'0	161	R	CAN	
Hynninen, Topias	C	5'11	176	R	FIN	
Jennersjo, Torkel	C	5'10	176	L	SWE	
Delisle, Tristan	C	5'11	184	R	CAN	
Langlois, Tristan	D	NA	NA	?	CAN	
Tuzin, Tsimafei	LW	NA	NA	?	SWE	
Meunier, Ty	LW	5'9	159	L	CAN	
Challenger, Tyler	LW	6'2	198	L	CAN	
Lawrence, Tynan	C	6'0	168	L	CAN	
Sparks, Tyus	RW	6'0	196	L	USA	
Rasanen, Veeti	LW	NA	NA	?	FIN	
Ruotsalainen, Veeti	D	5'11	165	R	FIN	
Svensk, Vertti	D	6'0	165	L	FIN	
Plante, Victor	LW	5'9	148	L	USA	
Björck, Viggo	RW	5'9	165	R	SWE	
Tamm, Viggo	G	NA	NA	?	SWE	
Kahkonen, Viijo	RW	5'10	179	R	FIN	
Fyodorov, Viktor	C	5'10	176	L	RUS	
Pennerborn, Viktor	D	6'1	190	L	SWE	
Vanhatalo, Vilho	LW	6'3	187	L	FIN	
Vaananen, Vilmeri	D	NA	NA	?	FIN	
Desjardins, Vincent	C	5'11	172	L	CAN	
Macek, Vit	LW	6'2	174	R	CZE	
Dravecky, Vladimir	D	5'11	185	R	CZE	
Selivanov, Vladimir	G	NA	NA	?	RUS	
Ukhmylov, Vladislav	D	6'4	163	R	RUS	
Yermolenko, Vladislav	G	NA	NA	?	RUS	
Cerny, Vojtech	D	NA	NA	?	CZE	
Hora, Vojtech	D	NA	NA	?	FIN	
Kubin, Vojtech	C	NA	NA	?	CZE	
Svancar, Vojtech	LW	NA	NA	?	CZE	
Matveyev, Vsevolod	D	NA	NA	?	RUS	
Royston, Wesley	RW	6'3	174	R	CAN	
Cameron, Weston	LW	NA	NA	?	CAN	
Bent, Will	RW	6'1	196	R	CAN	
McLaughlin, Will	D	NA	NA	?	USA	
Gammals, William	G	NA	NA	?	FIN	
